"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript React", "CSS", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\utils\china.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 24, 21, 1, 46
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\utils\filter.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\utils\reportWebVitals.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\utils\request.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\views\FileDetail\index.module.css", "CSS", 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 25
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\views\FileDetail\index.tsx", "TypeScript React", 0, 0, 0, 44, 0, 0, 0, 0, 1, 4, 49
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\views\Home\index.module.css", "CSS", 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\views\Home\index.tsx", "TypeScript React", 0, 0, 0, 136, 0, 0, 0, 0, 7, 13, 156
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\views\Intro\index.module.css", "CSS", 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\views\Intro\index.tsx", "TypeScript React", 0, 0, 0, 46, 0, 0, 0, 0, 0, 5, 51
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\views\Workbench\Cockpit\index.module.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\views\Workbench\Cockpit\index.tsx", "TypeScript React", 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\views\Workbench\FileManage\index.tsx", "TypeScript React", 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\views\Workbench\index.module.css", "CSS", 0, 0, 0, 0, 42, 0, 0, 0, 0, 10, 52
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\src\views\Workbench\index.tsx", "TypeScript React", 0, 0, 0, 62, 0, 0, 0, 0, 0, 7, 69
"d:\StudyFiles\学习资料\大四上\互联网实践\code\case_frontend_new\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 26, 29988, 151, 1569, 429, 26, 20, 24, 78, 254, 32565
